State,Year,Population
AL,2000,4452173
AL,2001,4467634
AL,2002,4480089
AL,2003,4503491
AL,2004,4530729
AL,2005,4569805
AL,2006,4628981
AL,2007,4672840
AL,2008,4718206
AL,2009,4757938
AL,2010,4785514
AL,2011,4799642
AL,2012,4816632
AL,2013,4831586
AL,2014,4843737
AL,2015,4854803
AL,2016,4866824
AL,2017,4877989
AL,2018,4891628
AL,2019,4907965
AL,2020,4921532
AK,2000,627963
AK,2001,633714
AK,2002,642337
AK,2003,648414
AK,2004,659286
AK,2005,666946
AK,2006,675302
AK,2007,680300
AK,2008,687455
AK,2009,698895
AK,2010,713982
AK,2011,722349
AK,2012,730810
AK,2013,737626
AK,2014,737075
AK,2015,738430
AK,2016,742575
AK,2017,740983
AK,2018,736624
AK,2019,733603
AK,2020,731158
AZ,2000,5160586
AZ,2001,5273477
AZ,2002,5396255
AZ,2003,5510364
AZ,2004,5652404
AZ,2005,5839077
AZ,2006,6029141
AZ,2007,6167681
AZ,2008,6280362
AZ,2009,6343154
AZ,2010,6407342
AZ,2011,6473416
AZ,2012,6556344
AZ,2013,6634690
AZ,2014,6732873
AZ,2015,6832810
AZ,2016,6944767
AZ,2017,7048088
AZ,2018,7164228
AZ,2019,7291843
AZ,2020,7421401
AR,2000,2678588
AR,2001,2691571
AR,2002,2705927
AR,2003,2724816
AR,2004,2749686
AR,2005,2781097
AR,2006,2821761
AR,2007,2848650
AR,2008,2874554
AR,2009,2896843
AR,2010,2921998
AR,2011,2941038
AR,2012,2952876
AR,2013,2960459
AR,2014,2968759
AR,2015,2979732
AR,2016,2991815
AR,2017,3003855
AR,2018,3012161
AR,2019,3020985
AR,2020,3030522
CA,2000,33987977
CA,2001,34479458
CA,2002,34871843
CA,2003,35253159
CA,2004,35574576
CA,2005,35827943
CA,2006,36021202
CA,2007,36250311
CA,2008,36604337
CA,2009,36961229
CA,2010,37319550
CA,2011,37636311
CA,2012,37944551
CA,2013,38253768
CA,2014,38586706
CA,2015,38904296
CA,2016,39149186
CA,2017,39337785
CA,2018,39437463
CA,2019,39437610
CA,2020,39368078
CO,2000,4326921
CO,2001,4425687
CO,2002,4490406
CO,2003,4528732
CO,2004,4575013
CO,2005,4631888
CO,2006,4720423
CO,2007,4803868
CO,2008,4889730
CO,2009,4972195
CO,2010,5047539
CO,2011,5121900
CO,2012,5193660
CO,2013,5270774
CO,2014,5352637
CO,2015,5454328
CO,2016,5543844
CO,2017,5617421
CO,2018,5697155
CO,2019,5758486
CO,2020,5807719
CT,2000,3411777
CT,2001,3432835
CT,2002,3458749
CT,2003,3484336
CT,2004,3496094
CT,2005,3506956
CT,2006,3517460
CT,2007,3527270
CT,2008,3545579
CT,2009,3561807
CT,2010,3579173
CT,2011,3588632
CT,2012,3595211
CT,2013,3595792
CT,2014,3595697
CT,2015,3588561
CT,2016,3579830
CT,2017,3575324
CT,2018,3574561
CT,2019,3566022
CT,2020,3557006
DE,2000,786373
DE,2001,795699
DE,2002,806169
DE,2003,818003
DE,2004,830803
DE,2005,845150
DE,2006,859268
DE,2007,871749
DE,2008,883874
DE,2009,891730
DE,2010,899647
DE,2011,907590
DE,2012,915518
DE,2013,924062
DE,2014,933131
DE,2015,942065
DE,2016,949989
DE,2017,957942
DE,2018,966985
DE,2019,976668
DE,2020,986809
DC,2000,572046
DC,2001,574504
DC,2002,573158
DC,2003,568502
DC,2004,567754
DC,2005,567136
DC,2006,570681
DC,2007,574404
DC,2008,580236
DC,2009,592228
DC,2010,605282
DC,2011,620290
DC,2012,635737
DC,2013,651559
DC,2014,663603
DC,2015,677014
DC,2016,687576
DC,2017,697079
DC,2018,704147
DC,2019,708253
DC,2020,712816
FL,2000,16047515
FL,2001,16356966
FL,2002,16689370
FL,2003,17004085
FL,2004,17415318
FL,2005,17842038
FL,2006,18166990
FL,2007,18367842
FL,2008,18527305
FL,2009,18652644
FL,2010,18846143
FL,2011,19055607
FL,2012,19302016
FL,2013,19551678
FL,2014,19853880
FL,2015,20219111
FL,2016,20627237
FL,2017,20977089
FL,2018,21254926
FL,2019,21492056
FL,2020,21733312
GA,2000,8227303
GA,2001,8377038
GA,2002,8508256
GA,2003,8622793
GA,2004,8769252
GA,2005,8925922
GA,2006,9155813
GA,2007,9349988
GA,2008,9504843
GA,2009,9620846
GA,2010,9712209
GA,2011,9803630
GA,2012,9903580
GA,2013,9975592
GA,2014,10071204
GA,2015,10183353
GA,2016,10308442
GA,2017,10417031
GA,2018,10519389
GA,2019,10628020
GA,2020,10710017
HI,2000,1213519
HI,2001,1225948
HI,2002,1239613
HI,2003,1251154
HI,2004,1273569
HI,2005,1292729
HI,2006,1309731
HI,2007,1315675
HI,2008,1332213
HI,2009,1346717
HI,2010,1364004
HI,2011,1379562
HI,2012,1395199
HI,2013,1408822
HI,2014,1415335
HI,2015,1422999
HI,2016,1428885
HI,2017,1425763
HI,2018,1423102
HI,2019,1415615
HI,2020,1407006
ID,2000,1299430
ID,2001,1319962
ID,2002,1340372
ID,2003,1363380
ID,2004,1391802
ID,2005,1428241
ID,2006,1468669
ID,2007,1505105
ID,2008,1534320
ID,2009,1554439
ID,2010,1570819
ID,2011,1584272
ID,2012,1595910
ID,2013,1612053
ID,2014,1632248
ID,2015,1652495
ID,2016,1684036
ID,2017,1719745
ID,2018,1752074
ID,2019,1789060
ID,2020,1826913
IL,2000,12434161
IL,2001,12488445
IL,2002,12525556
IL,2003,12556006
IL,2004,12589773
IL,2005,12609903
IL,2006,12643955
IL,2007,12695866
IL,2008,12747038
IL,2009,12796778
IL,2010,12840545
IL,2011,12867783
IL,2012,12883029
IL,2013,12895778
IL,2014,12885092
IL,2015,12859585
IL,2016,12821709
IL,2017,12779893
IL,2018,12724685
IL,2019,12667017
IL,2020,12587530
IN,2000,6091866
IN,2001,6127760
IN,2002,6155967
IN,2003,6196638
IN,2004,6233007
IN,2005,6278616
IN,2006,6332669
IN,2007,6379599
IN,2008,6424806
IN,2009,6459325
IN,2010,6490555
IN,2011,6517250
IN,2012,6538989
IN,2013,6570575
IN,2014,6596019
IN,2015,6611442
IN,2016,6637898
IN,2017,6662068
IN,2018,6698481
IN,2019,6731010
IN,2020,6754953
IA,2000,2929067
IA,2001,2931997
IA,2002,2934234
IA,2003,2941999
IA,2004,2953635
IA,2005,2964454
IA,2006,2982644
IA,2007,2999212
IA,2008,3016734
IA,2009,3032870
IA,2010,3050819
IA,2011,3066772
IA,2012,3076844
IA,2013,3093935
IA,2014,3110643
IA,2015,3122541
IA,2016,3133210
IA,2017,3143734
IA,2018,3149900
IA,2019,3159596
IA,2020,3163561
KS,2000,2693681
KS,2001,2702162
KS,2002,2713535
KS,2003,2723004
KS,2004,2734373
KS,2005,2745299
KS,2006,2762931
KS,2007,2783785
KS,2008,2808076
KS,2009,2832704
KS,2010,2858266
KS,2011,2869677
KS,2012,2886024
KS,2013,2894306
KS,2014,2901861
KS,2015,2910717
KS,2016,2912977
KS,2017,2910892
KS,2018,2912748
KS,2019,2912635
KS,2020,2913805
KY,2000,4049021
KY,2001,4068132
KY,2002,4089875
KY,2003,4117170
KY,2004,4146101
KY,2005,4182742
KY,2006,4219239
KY,2007,4256672
KY,2008,4289878
KY,2009,4317074
KY,2010,4348464
KY,2011,4370817
KY,2012,4387865
KY,2013,4406906
KY,2014,4416992
KY,2015,4429126
KY,2016,4440306
KY,2017,4455590
KY,2018,4464273
KY,2019,4472345
KY,2020,4477251
LA,2000,4471885
LA,2001,4477875
LA,2002,4497267
LA,2003,4521042
LA,2004,4552238
LA,2005,4576628
LA,2006,4302665
LA,2007,4375581
LA,2008,4435586
LA,2009,4491648
LA,2010,4544635
LA,2011,4576244
LA,2012,4602067
LA,2013,4626040
LA,2014,4645938
LA,2015,4666998
LA,2016,4681346
LA,2017,4673673
LA,2018,4664450
LA,2019,4658285
LA,2020,4645318
ME,2000,1277072
ME,2001,1285692
ME,2002,1295960
ME,2003,1306513
ME,2004,1313688
ME,2005,1318787
ME,2006,1323619
ME,2007,1327040
ME,2008,1330509
ME,2009,1329590
ME,2010,1327651
ME,2011,1328473
ME,2012,1328094
ME,2013,1328543
ME,2014,1331217
ME,2015,1329098
ME,2016,1332348
ME,2017,1335743
ME,2018,1340123
ME,2019,1345770
ME,2020,1350141
MD,2000,5311034
MD,2001,5374691
MD,2002,5440389
MD,2003,5496269
MD,2004,5546935
MD,2005,5592379
MD,2006,5627367
MD,2007,5653408
MD,2008,5684965
MD,2009,5730388
MD,2010,5788784
MD,2011,5840241
MD,2012,5888375
MD,2013,5925197
MD,2014,5960064
MD,2015,5988528
MD,2016,6007014
MD,2017,6028186
MD,2018,6042153
MD,2019,6054954
MD,2020,6055802
MA,2000,6361104
MA,2001,6397634
MA,2002,6417206
MA,2003,6422565
MA,2004,6412281
MA,2005,6403290
MA,2006,6410084
MA,2007,6431559
MA,2008,6468967
MA,2009,6517613
MA,2010,6566440
MA,2011,6614218
MA,2012,6664269
MA,2013,6715158
MA,2014,6764864
MA,2015,6797484
MA,2016,6827280
MA,2017,6863560
MA,2018,6885720
MA,2019,6894883
MA,2020,6893574
MI,2000,9952450
MI,2001,9991120
MI,2002,10015710
MI,2003,10041152
MI,2004,10055315
MI,2005,10051137
MI,2006,10036081
MI,2007,10001284
MI,2008,9946889
MI,2009,9901591
MI,2010,9877597
MI,2011,9883053
MI,2012,9898289
MI,2013,9914802
MI,2014,9932033
MI,2015,9934483
MI,2016,9954117
MI,2017,9976752
MI,2018,9987286
MI,2019,9984795
MI,2020,9966555
MN,2000,4933692
MN,2001,4982796
MN,2002,5018935
MN,2003,5053572
MN,2004,5087713
MN,2005,5119598
MN,2006,5163555
MN,2007,5207203
MN,2008,5247018
MN,2009,5281203
MN,2010,5310934
MN,2011,5346620
MN,2012,5377500
MN,2013,5414722
MN,2014,5452665
MN,2015,5484002
MN,2016,5525360
MN,2017,5569283
MN,2018,5608762
MN,2019,5640053
MN,2020,5657342
MS,2000,2848353
MS,2001,2852994
MS,2002,2858681
MS,2003,2868312
MS,2004,2889010
MS,2005,2905943
MS,2006,2904978
MS,2007,2928350
MS,2008,2947806
MS,2009,2958774
MS,2010,2970615
MS,2011,2979147
MS,2012,2984599
MS,2013,2989839
MS,2014,2991892
MS,2015,2990231
MS,2016,2990595
MS,2017,2990674
MS,2018,2982879
MS,2019,2978227
MS,2020,2966786
MO,2000,5607285
MO,2001,5641142
MO,2002,5674825
MO,2003,5709403
MO,2004,5747741
MO,2005,5790300
MO,2006,5842704
MO,2007,5887612
MO,2008,5923916
MO,2009,5961088
MO,2010,5996089
MO,2011,6011182
MO,2012,6026027
MO,2013,6042989
MO,2014,6059130
MO,2015,6075411
MO,2016,6091384
MO,2017,6111382
MO,2018,6125986
MO,2019,6140475
MO,2020,6151548
MT,2000,903773
MT,2001,906961
MT,2002,911667
MT,2003,919630
MT,2004,930009
MT,2005,940102
MT,2006,952692
MT,2007,964706
MT,2008,976415
MT,2009,983982
MT,2010,990730
MT,2011,997518
MT,2012,1004168
MT,2013,1014158
MT,2014,1022657
MT,2015,1031495
MT,2016,1042137
MT,2017,1053862
MT,2018,1061818
MT,2019,1070123
MT,2020,1080577
NE,2000,1713820
NE,2001,1719836
NE,2002,1728292
NE,2003,1738643
NE,2004,1749370
NE,2005,1761497
NE,2006,1772693
NE,2007,1783440
NE,2008,1796378
NE,2009,1812683
NE,2010,1829591
NE,2011,1840914
NE,2012,1853691
NE,2013,1865813
NE,2014,1879955
NE,2015,1892059
NE,2016,1906483
NE,2017,1916998
NE,2018,1925512
NE,2019,1932571
NE,2020,1937552
NV,2000,2018741
NV,2001,2098399
NV,2002,2173791
NV,2003,2248850
NV,2004,2346222
NV,2005,2432143
NV,2006,2522658
NV,2007,2601072
NV,2008,2653630
NV,2009,2684665
NV,2010,2702483
NV,2011,2713114
NV,2012,2744670
NV,2013,2776956
NV,2014,2818935
NV,2015,2868531
NV,2016,2919555
NV,2017,2972097
NV,2018,3030725
NV,2019,3090771
NV,2020,3138259
NH,2000,1239882
NH,2001,1255517
NH,2002,1269089
NH,2003,1279840
NH,2004,1290121
NH,2005,1298492
NH,2006,1308389
NH,2007,1312540
NH,2008,1315906
NH,2009,1316102
NH,2010,1316807
NH,2011,1320444
NH,2012,1324677
NH,2013,1327272
NH,2014,1334257
NH,2015,1337480
NH,2016,1343694
NH,2017,1350395
NH,2018,1355064
NH,2019,1360783
NH,2020,1366275
NJ,2000,8430621
NJ,2001,8492671
NJ,2002,8552643
NJ,2003,8601402
NJ,2004,8634561
NJ,2005,8651974
NJ,2006,8661679
NJ,2007,8677885
NJ,2008,8711090
NJ,2009,8755602
NJ,2010,8799451
NJ,2011,8828552
NJ,2012,8845671
NJ,2013,8857821
NJ,2014,8867277
NJ,2015,8870312
NJ,2016,8873584
NJ,2017,8888147
NJ,2018,8891730
NJ,2019,8891258
NJ,2020,8882371
NM,2000,1821204
NM,2001,1831690
NM,2002,1855309
NM,2003,1877574
NM,2004,1903808
NM,2005,1932274
NM,2006,1962137
NM,2007,1990070
NM,2008,2010662
NM,2009,2036802
NM,2010,2064614
NM,2011,2080707
NM,2012,2087715
NM,2013,2092833
NM,2014,2090236
NM,2015,2090071
NM,2016,2092555
NM,2017,2092844
NM,2018,2093754
NM,2019,2099634
NM,2020,2106319
NY,2000,19001780
NY,2001,19082838
NY,2002,19137800
NY,2003,19175939
NY,2004,19171567
NY,2005,19132610
NY,2006,19104631
NY,2007,19132335
NY,2008,19212436
NY,2009,19307066
NY,2010,19399956
NY,2011,19499921
NY,2012,19574362
NY,2013,19626488
NY,2014,19653431
NY,2015,19657321
NY,2016,19636391
NY,2017,19593849
NY,2018,19544098
NY,2019,19463131
NY,2020,19336776
NC,2000,8081614
NC,2001,8210122
NC,2002,8326201
NC,2003,8422501
NC,2004,8553152
NC,2005,8705407
NC,2006,8917270
NC,2007,9118037
NC,2008,9309449
NC,2009,9449566
NC,2010,9574586
NC,2011,9658913
NC,2012,9751810
NC,2013,9846717
NC,2014,9937295
NC,2015,10037218
NC,2016,10161802
NC,2017,10275758
NC,2018,10391358
NC,2019,10501384
NC,2020,10600823
ND,2000,642023
ND,2001,639062
ND,2002,638168
ND,2003,638817
ND,2004,644705
ND,2005,646089
ND,2006,649422
ND,2007,652822
ND,2008,657569
ND,2009,664968
ND,2010,674752
ND,2011,685526
ND,2012,702227
ND,2013,723149
ND,2014,738736
ND,2015,755537
ND,2016,756114
ND,2017,756755
ND,2018,760062
ND,2019,763724
ND,2020,765309
OH,2000,11363543
OH,2001,11387404
OH,2002,11407889
OH,2003,11434788
OH,2004,11452251
OH,2005,11463320
OH,2006,11481213
OH,2007,11500468
OH,2008,11515391
OH,2009,11528896
OH,2010,11539449
OH,2011,11545735
OH,2012,11550971
OH,2013,11579692
OH,2014,11606573
OH,2015,11622315
OH,2016,11640060
OH,2017,11665706
OH,2018,11680892
OH,2019,11696507
OH,2020,11693217
OK,2000,3454365
OK,2001,3467100
OK,2002,3489080
OK,2003,3504892
OK,2004,3525233
OK,2005,3548597
OK,2006,3594090
OK,2007,3634349
OK,2008,3668976
OK,2009,3717572
OK,2010,3760014
OK,2011,3788824
OK,2012,3819320
OK,2013,3853891
OK,2014,3879187
OK,2015,3910518
OK,2016,3928143
OK,2017,3933602
OK,2018,3943488
OK,2019,3960676
OK,2020,3980783
OR,2000,3429708
OR,2001,3467937
OR,2002,3513424
OR,2003,3547376
OR,2004,3569463
OR,2005,3613202
OR,2006,3670883
OR,2007,3722417
OR,2008,3768748
OR,2009,3808600
OR,2010,3837614
OR,2011,3872672
OR,2012,3900102
OR,2013,3924110
OR,2014,3965447
OR,2015,4018542
OR,2016,4093271
OR,2017,4147294
OR,2018,4183538
OR,2019,4216116
OR,2020,4241507
PA,2000,12284173
PA,2001,12298970
PA,2002,12331031
PA,2003,12374658
PA,2004,12410722
PA,2005,12449990
PA,2006,12510809
PA,2007,12563937
PA,2008,12612285
PA,2009,12666858
PA,2010,12711406
PA,2011,12747052
PA,2012,12769123
PA,2013,12779538
PA,2014,12792392
PA,2015,12789838
PA,2016,12788468
PA,2017,12794679
PA,2018,12809107
PA,2019,12798883
PA,2020,12783254
RI,2000,1050268
RI,2001,1057142
RI,2002,1065995
RI,2003,1071342
RI,2004,1074579
RI,2005,1067916
RI,2006,1063096
RI,2007,1057315
RI,2008,1055003
RI,2009,1053646
RI,2010,1053994
RI,2011,1053829
RI,2012,1054893
RI,2013,1055560
RI,2014,1056511
RI,2015,1056886
RI,2016,1057816
RI,2017,1056554
RI,2018,1059338
RI,2019,1058158
RI,2020,1057125
SC,2000,4024223
SC,2001,4064995
SC,2002,4107795
SC,2003,4150297
SC,2004,4210921
SC,2005,4270150
SC,2006,4357847
SC,2007,4444110
SC,2008,4528996
SC,2009,4589872
SC,2010,4635846
SC,2011,4672655
SC,2012,4719027
SC,2013,4766469
SC,2014,4826858
SC,2015,4896006
SC,2016,4963031
SC,2017,5027102
SC,2018,5091702
SC,2019,5157702
SC,2020,5218040
SD,2000,755844
SD,2001,757972
SD,2002,760020
SD,2003,763729
SD,2004,770396
SD,2005,775493
SD,2006,783033
SD,2007,791623
SD,2008,799124
SD,2009,807067
SD,2010,816193
SD,2011,823740
SD,2012,833859
SD,2013,842751
SD,2014,849670
SD,2015,854663
SD,2016,863693
SD,2017,873732
SD,2018,879386
SD,2019,887127
SD,2020,892717
TN,2000,5703719
TN,2001,5750789
TN,2002,5795918
TN,2003,5847812
TN,2004,5910809
TN,2005,5991057
TN,2006,6088766
TN,2007,6175727
TN,2008,6247411
TN,2009,6306019
TN,2010,6355518
TN,2011,6400298
TN,2012,6455752
TN,2013,6496943
TN,2014,6544617
TN,2015,6595354
TN,2016,6651277
TN,2017,6714748
TN,2018,6778180
TN,2019,6830325
TN,2020,6886834
TX,2000,20944499
TX,2001,21319622
TX,2002,21690325
TX,2003,22030931
TX,2004,22394023
TX,2005,22778123
TX,2006,23359580
TX,2007,23831983
TX,2008,24309039
TX,2009,24801761
TX,2010,25241897
TX,2011,25645504
TX,2012,26084120
TX,2013,26479646
TX,2014,26963092
TX,2015,27468531
TX,2016,27914064
TX,2017,28291024
TX,2018,28624564
TX,2019,28986794
TX,2020,29360759
UT,2000,2244502
UT,2001,2283715
UT,2002,2324815
UT,2003,2360137
UT,2004,2401580
UT,2005,2457719
UT,2006,2525507
UT,2007,2597746
UT,2008,2663029
UT,2009,2723421
UT,2010,2775413
UT,2011,2814797
UT,2012,2854146
UT,2013,2898773
UT,2014,2938327
UT,2015,2983626
UT,2016,3044241
UT,2017,3103540
UT,2018,3155153
UT,2019,3203383
UT,2020,3249879
VT,2000,609618
VT,2001,612223
VT,2002,615442
VT,2003,617858
VT,2004,619920
VT,2005,621215
VT,2006,622892
VT,2007,623481
VT,2008,624151
VT,2009,624817
VT,2010,625886
VT,2011,627197
VT,2012,626361
VT,2013,626603
VT,2014,625693
VT,2015,625810
VT,2016,624366
VT,2017,625132
VT,2018,624802
VT,2019,624046
VT,2020,623347
VA,2000,7105817
VA,2001,7198362
VA,2002,7286873
VA,2003,7366977
VA,2004,7475575
VA,2005,7577105
VA,2006,7673725
VA,2007,7751000
VA,2008,7833496
VA,2009,7925937
VA,2010,8024004
VA,2011,8102437
VA,2012,8187456
VA,2013,8255861
VA,2014,8315430
VA,2015,8367303
VA,2016,8417651
VA,2017,8471011
VA,2018,8510920
VA,2019,8556642
VA,2020,8590563
WA,2000,5910512
WA,2001,5985722
WA,2002,6052349
WA,2003,6104115
WA,2004,6178645
WA,2005,6257305
WA,2006,6370753
WA,2007,6461587
WA,2008,6562231
WA,2009,6667426
WA,2010,6743009
WA,2011,6827479
WA,2012,6898599
WA,2013,6966252
WA,2014,7057531
WA,2015,7167287
WA,2016,7299961
WA,2017,7427951
WA,2018,7526793
WA,2019,7614024
WA,2020,7693612
WV,2000,1807021
WV,2001,1801481
WV,2002,1805414
WV,2003,1812295
WV,2004,1816438
WV,2005,1820492
WV,2006,1827912
WV,2007,1834052
WV,2008,1840310
WV,2009,1847775
WV,2010,1854265
WV,2011,1856606
WV,2012,1857446
WV,2013,1854768
WV,2014,1850569
WV,2015,1843332
WV,2016,1832435
WV,2017,1818683
WV,2018,1805953
WV,2019,1795263
WV,2020,1784787
WI,2000,5373999
WI,2001,5406835
WI,2002,5445162
WI,2003,5479203
WI,2004,5514026
WI,2005,5546166
WI,2006,5577655
WI,2007,5610775
WI,2008,5640996
WI,2009,5669264
WI,2010,5690538
WI,2011,5705840
WI,2012,5720825
WI,2013,5738012
WI,2014,5753199
WI,2015,5762927
WI,2016,5775170
WI,2017,5793147
WI,2018,5809319
WI,2019,5824581
WI,2020,5832655
WY,2000,494300
WY,2001,494657
WY,2002,500017
WY,2003,503453
WY,2004,509106
WY,2005,514157
WY,2006,522667
WY,2007,534876
WY,2008,546043
WY,2009,559851
WY,2010,564531
WY,2011,567491
WY,2012,576656
WY,2013,582620
WY,2014,583159
WY,2015,586389
WY,2016,585243
WY,2017,579994
WY,2018,579054
WY,2019,580116
WY,2020,582328
